link,gambar,nama,harga,diskon
https://shopee.co.id/Pupuk-Kandang-Kambing-Fermentasi-Organik-3-kg-i.223069711.55010193932?extraParams=%7B%22display_model_id%22%3A395896243605%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wm-mo0n6qpx4d1e33,Pupuk Kandang Kambing Fermentasi Organik - 3 kg,11.200,-,-4%
https://shopee.co.id/Hand-Sprayer-Alat-Semprot-ASENA-Tabung-Bulat-300ml-1pc-i.223069711.54810154797?extraParams=%7B%22display_model_id%22%3A320893130679%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mnzgk6ueew3qd7,Hand Sprayer Alat Semprot ASENA Tabung Bulat 300ml - 1pc,8.000,-,-6%
https://shopee.co.id/EM4-Peternakan-1-Liter-i.223069711.54610079420?extraParams=%7B%22display_model_id%22%3A262597925630%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wl-mnxrgmc8i68367,EM4 Peternakan 1 Liter,36.000,-,-1%
https://shopee.co.id/PAC-JERMAN-Penjernih-Air-POLY-ALUMINIUM-CHLORIDE-1-KG-i.223069711.54560144168?extraParams=%7B%22display_model_id%22%3A267600796355%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mnzcglvasumad5,PAC JERMAN Penjernih Air POLY ALUMINIUM CHLORIDE - 1 KG,24.500,-,-2%
https://shopee.co.id/M-21-Decomposer-Pembenah-Tanah-Penyubur-Tanah-Pembuat-Kompos-POC-1-Liter-i.223069711.54360076783?extraParams=%7B%22display_model_id%22%3A302597198798%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wp-mnxqbdb2jw8wd0,M-21 Decomposer Pembenah Tanah Penyubur Tanah Pembuat Kompos POC - 1 Liter,59.000,-,-1%
https://shopee.co.id/GENERATIF-GAVIOTA-67-PEMBUNGAAN-13.5-27-27-50GR-1PC-i.223069711.54060142585?extraParams=%7B%22display_model_id%22%3A445892060539%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wq-mnz93d24j7d22e,GENERATIF GAVIOTA 67 PEMBUNGAAN 13.5 27 27 / 50GR - 1PC,11.500,-,-4%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-4m-x-5m-1pcs-i.223069711.53960193677?extraParams=%7B%22display_model_id%22%3A415896132742%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wj-mo0lc8xf9rt299,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 4m x 5m - 1pcs,160.500,-,-1%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-3m-x-8m-1pcs-i.223069711.53860193200?extraParams=%7B%22display_model_id%22%3A345895991136%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mo0kl3d9dhqca8,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 3m x 8m - 1pcs,183.500,-,-1%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-2m-x-7m-1pcs-i.223069711.53410193196?extraParams=%7B%22display_model_id%22%3A315896587756%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wp-mo0lc8xmhmv94b,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 2m x 7m - 1pcs,118.000,-,-1%
https://shopee.co.id/media-tanam-Pasir-Malang-Ukuran-Kecil-5kg-i.223069711.53360197244?extraParams=%7B%22display_model_id%22%3A365896567805%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mo0o2lyowsg519,media tanam Pasir Malang Ukuran Kecil - 5kg,13.800,-,-3%
https://shopee.co.id/Fungisida-ANTRACOL-70-WP-Kemasan-1kg-i.223069711.52660202311?extraParams=%7B%22display_model_id%22%3A360896929408%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wj-mo0t67iv2whu89,Fungisida ANTRACOL 70 WP - Kemasan 1kg,235.000,-,-1%
https://shopee.co.id/Pakan-Pelet-Benih-Ikan-PRIMA-FEED-PF800-Curah-1kg-i.223069711.52010139567?extraParams=%7B%22display_model_id%22%3A287600477047%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mn3tf9x8972eda,Pakan Pelet Benih Ikan PRIMA FEED PF800 - Curah 1kg,29.500,-,-2%
https://shopee.co.id/PUPUK-CAIR-BOOSTER-DURIAN-TANI-JAYA-500ML-i.223069711.51760165012?extraParams=%7B%22display_model_id%22%3A360892869417%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wu-mnzf8xxb9nuu2f,PUPUK CAIR BOOSTER DURIAN TANI JAYA 500ML,54.500,-,-1%
https://shopee.co.id/Fungisida-ANTRACOL-70-WP-Kemasan-250gr-i.223069711.51560211221?extraParams=%7B%22display_model_id%22%3A350897004032%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wl-mo0t67ive51e5a,Fungisida ANTRACOL 70 WP - Kemasan 250gr,64.000,-,-1%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-4m-x-4m-1pcs-i.223069711.51560195386?extraParams=%7B%22display_model_id%22%3A310896505975%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wn-mo0kl3dedaf7b4,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 4m x 4m - 1pcs,122.500,-,-1%
https://shopee.co.id/Media-Tanam-PASIR-MALANG-VULKANIK-Size-KECIL-isi-1-KG-i.223069711.51310201501?extraParams=%7B%22display_model_id%22%3A224687160566%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wg-mo0rb5l328sgf6,Media Tanam - PASIR MALANG VULKANIK Size KECIL isi 1 KG,5.500,-,-8%
https://shopee.co.id/Media-Tanam-Sekam-Mentah-Fermentasi-Organik-10-kg-i.223069711.51110206556?extraParams=%7B%22display_model_id%22%3A267603315574%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wr-mo0sfcx5r18i65,Media Tanam Sekam Mentah Fermentasi Organik 10 kg,101.250,-,-1%
https://shopee.co.id/TALI-RAMBATAN-BENANG-GAWAR-3-WARNA-1-PCS-i.223069711.50710153833?extraParams=%7B%22display_model_id%22%3A350892764672%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wg-mnzf8xxh766a71,TALI RAMBATAN BENANG GAWAR 3 WARNA - 1 PCS,16.000,-,-3%
